Rk,Player,G,From,To,Age,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,Pos,Team
1,Albert Pujols,3022,2001,2022,21-42,3022,12854,11255,1887,3332,1953,678,16,685,2170,117,42,1360,1378,0.296,0.374,0.542,0.916,144,6097,420,117,1,121,316,3D759H/46,"LAA,LAD,STL"
2,Miguel Cabrera,2663,2003,2022,20-39,2663,11291,9900,1524,3066,1939,605,17,505,1838,40,21,1215,2004,0.31,0.386,0.527,0.913,143,5220,347,71,5,100,237,35D79H,"DET,FLA"
3,Robinson Canó,2260,2005,2022,22-39,2260,9530,8754,1261,2638,1699,571,33,335,1306,51,38,619,1210,0.301,0.351,0.489,0.84,125,4280,284,85,10,62,112,*4DH3/56,"ATL,NYM,NYY,SDP,SEA"
4,Yadier Molina,2184,2004,2022,21-39,2184,8422,7691,768,2141,1556,405,7,173,1008,70,37,539,905,0.278,0.329,0.4,0.729,96,3079,281,74,43,74,50,*23H/D15,STL
5,Nelson Cruz,1964,2005,2022,24-41,1964,8082,7214,1070,1986,1151,364,14,457,1285,81,32,719,1828,0.275,0.345,0.52,0.865,132,3749,173,82,2,57,77,D97H/83,"BAL,MIL,MIN,SEA,TBR,TEX,WSN"
6,Joey Votto,1964,2007,2022,23-38,1964,8390,6945,1137,2074,1264,451,22,337,1092,80,29,1327,1548,0.299,0.414,0.515,0.929,146,3580,162,70,0,48,147,*3HD/7,CIN
7,Elvis Andrus,1880,2009,2022,20-33,1880,7920,7136,986,1925,1443,347,50,85,696,321,109,573,1088,0.27,0.326,0.368,0.694,86,2627,183,51,103,56,7,*6DH,"OAK,TEX"
8,Evan Longoria,1867,2008,2022,22-36,1867,7822,6961,979,1850,1085,414,26,325,1107,58,19,698,1580,0.266,0.335,0.473,0.808,120,3291,194,70,1,92,86,*5DH/6,"SFG,TBR"
9,Justin Upton,1844,2007,2022,19-34,1844,7646,6718,1058,1754,1041,350,38,325,1003,151,59,785,1969,0.261,0.343,0.47,0.812,117,3155,142,78,3,59,49,*79HD/8,"ARI,ATL,DET,LAA,SDP,SEA"
10,Andrew McCutchen,1834,2009,2022,22-35,1834,7907,6809,1089,1900,1193,379,49,279,970,203,83,951,1479,0.279,0.371,0.472,0.843,130,3214,116,80,3,64,66,*879DH,"MIL,NYY,PHI,PIT,SFG"
11,Carlos Santana,1719,2010,2022,24-36,1719,7328,6119,892,1496,887,327,16,266,892,48,18,1122,1198,0.244,0.362,0.434,0.795,116,2653,153,33,0,54,62,32D5H/97,"CLE,KCR,PHI,SEA"
12,Freddie Freeman,1652,2010,2022,20-32,1652,7053,6111,1026,1813,1107,396,27,283,997,60,24,818,1377,0.297,0.384,0.509,0.894,139,3112,130,80,0,44,107,*3H5/D,"ATL,LAD"
13,Eric Hosmer,1633,2011,2022,21-32,1633,6783,6172,795,1711,1183,314,20,194,870,76,30,546,1199,0.277,0.336,0.429,0.765,108,2647,158,22,3,40,53,*3HD/9,"KCR,SDP"
14,Kurt Suzuki,1613,2007,2022,23-38,1613,6102,5510,591,1412,971,294,6,141,725,20,11,382,742,0.256,0.315,0.389,0.703,91,2141,148,118,26,66,22,2HD/3,"ATL,LAA,MIN,OAK,WSN"
15,Jason Heyward,1579,2010,2022,20-32,1579,6265,5527,781,1422,955,269,39,159,641,118,40,644,1101,0.257,0.339,0.406,0.746,101,2246,93,55,6,25,24,*98H,"ATL,CHC,STL"
16,Paul Goldschmidt,1556,2011,2022,23-34,1556,6678,5694,1001,1681,991,369,22,299,994,145,33,882,1484,0.295,0.391,0.525,0.916,144,2991,130,41,0,47,108,*3DH,"ARI,STL"
17,Alcides Escobar,1551,2008,2022,21-35,1551,6179,5747,670,1486,1134,249,58,45,478,178,45,253,863,0.259,0.295,0.346,0.64,74,1986,113,57,87,35,17,*654H/8179,"KCR,MIL,WSN"
18,Brandon Crawford,1513,2011,2022,24-35,1513,5731,5124,617,1295,843,274,43,135,687,44,34,491,1144,0.253,0.321,0.402,0.723,99,2060,113,54,6,56,73,*6H,SFG
19,Jose Altuve,1508,2011,2022,21-32,1508,6659,6049,930,1852,1285,357,29,181,672,269,81,479,803,0.306,0.36,0.465,0.825,126,2810,165,59,26,46,41,*4DH/6,HOU
20,Anthony Rizzo,1487,2011,2022,21-32,1487,6334,5403,812,1437,838,304,22,273,871,72,38,700,1006,0.266,0.367,0.482,0.849,128,2604,126,189,0,42,72,*3H4/D157,"CHC,NYY,SDP"
21,Dexter Fowler,1460,2008,2021,22-35,1460,5902,5040,817,1306,844,253,82,127,517,149,68,740,1326,0.259,0.358,0.417,0.775,104,2104,58,51,43,28,16,89H/D,"CHC,COL,HOU,LAA,STL"
22,Michael Brantley,1430,2009,2022,22-35,1430,6092,5512,751,1641,1143,346,25,127,713,125,33,483,656,0.298,0.356,0.439,0.794,117,2418,128,37,13,46,37,78DH9,"CLE,HOU"
23,Giancarlo Stanton,1397,2010,2022,20-32,1397,5873,5105,797,1362,711,270,11,370,950,42,15,680,1642,0.267,0.356,0.541,0.898,143,2764,123,49,0,36,83,9D7H/8,"FLA,MIA,NYY"
24,DJ LeMahieu,1379,2011,2022,22-33,1379,5686,5128,786,1532,1150,243,36,103,569,91,44,459,824,0.299,0.357,0.42,0.777,102,2156,153,26,35,38,22,453H/D6,"CHC,COL,NYY"
25,Manny Machado,1374,2012,2022,19-29,1374,5966,5394,793,1516,938,294,18,266,802,83,34,486,1001,0.281,0.34,0.49,0.831,125,2644,157,24,14,48,57,*56DH,"BAL,LAD,SDP"
26,Mike Trout,1367,2011,2022,19-30,1367,5986,4938,1022,1495,825,285,51,334,867,204,37,904,1312,0.303,0.416,0.584,1,176,2884,61,91,0,52,115,*87D9H,LAA
27,Matt Carpenter,1356,2011,2022,25-36,1356,5303,4468,769,1175,678,304,28,165,598,27,17,709,1092,0.263,0.369,0.454,0.823,124,2030,37,67,12,46,40,534HD9/71,"NYY,STL"
28,Charlie Blackmon,1349,2011,2022,24-35,1349,5685,5146,865,1537,997,280,55,205,681,136,56,394,953,0.299,0.357,0.494,0.851,114,2542,58,87,26,32,30,*897HD,COL
29,Bryce Harper,1347,2012,2022,19-29,1347,5757,4799,899,1350,754,291,23,282,800,120,41,859,1241,0.281,0.391,0.528,0.919,144,2533,102,39,12,48,107,*978DH/3,"PHI,WSN"
30,J.D. Martinez,1347,2011,2022,23-34,1347,5636,5057,764,1470,850,325,20,275,875,25,11,496,1358,0.291,0.355,0.526,0.881,134,2660,157,31,0,48,53,9D7H,"ARI,BOS,DET,HOU"
31,Justin Turner,1346,2009,2022,24-37,1346,4949,4349,629,1250,805,277,9,159,628,39,10,444,739,0.287,0.364,0.465,0.829,125,2022,111,107,5,44,16,5H4D63/17,"BAL,LAD,NYM"
32,Nolan Arenado,1322,2013,2022,22-31,1322,5573,5035,771,1452,818,316,31,287,923,19,18,445,826,0.288,0.346,0.534,0.88,123,2691,151,28,5,59,68,*5DH,"COL,STL"
33,Jed Lowrie,1303,2008,2022,24-38,1303,5179,4599,590,1183,754,291,17,121,594,8,3,502,894,0.257,0.33,0.407,0.737,103,1871,93,24,8,46,19,645DH3,"BOS,HOU,NYM,OAK"
34,Mike Moustakas,1300,2011,2022,22-33,1300,5141,4661,546,1154,689,258,6,201,630,21,10,373,859,0.248,0.309,0.435,0.743,98,2027,112,57,8,42,25,54DH3,"CIN,KCR,MIL"
35,Brandon Belt,1281,2011,2022,23-34,1281,4970,4295,624,1130,657,263,36,174,577,47,21,605,1175,0.263,0.358,0.463,0.821,125,1987,57,44,1,25,34,3H7/D9,SFG
36,Jean Segura,1274,2012,2022,22-32,1274,5403,5008,689,1427,1052,227,45,103,478,200,66,286,745,0.285,0.329,0.41,0.739,99,2053,122,58,27,23,24,645H/D,"ARI,LAA,MIL,PHI,SEA"
37,Josh Donaldson,1270,2010,2022,24-36,1270,5411,4632,768,1236,694,270,12,260,762,40,9,679,1100,0.267,0.364,0.499,0.863,133,2310,122,53,5,42,21,5DH2/36,"ATL,CLE,MIN,NYY,OAK,TOR"
38,Andrelton Simmons,1225,2012,2022,22-32,1225,4816,4441,501,1169,875,201,23,70,444,72,24,304,461,0.263,0.312,0.366,0.678,87,1626,163,26,16,29,15,*64H/D1,"ATL,CHC,LAA,MIN"
39,Eduardo Escobar,1210,2011,2022,22-33,1210,4614,4221,538,1069,649,232,40,148,574,21,17,318,920,0.253,0.306,0.432,0.739,98,1825,54,23,13,39,22,564HD73/1289,"ARI,CHW,MIL,MIN,NYM"
40,Starling Marte,1208,2012,2022,23-33,1208,5084,4641,730,1343,908,251,49,135,542,306,90,267,1009,0.289,0.345,0.452,0.797,117,2097,90,140,16,20,16,*789H/D,"ARI,MIA,NYM,OAK,PIT"
41,José Abreu,1199,2014,2022,27-35,1199,5203,4684,662,1361,819,287,16,239,831,11,5,365,1036,0.291,0.352,0.512,0.864,135,2397,155,108,0,46,55,*3D/H5,CHW
42,Xander Bogaerts,1199,2013,2022,20-29,1199,5119,4592,720,1338,882,293,15,148,646,71,15,440,940,0.291,0.356,0.458,0.814,116,2105,107,42,5,40,20,*65HD,BOS
43,Salvador Perez,1197,2011,2022,21-32,1197,4794,4530,516,1208,760,226,11,211,690,6,1,171,870,0.267,0.3,0.461,0.761,104,2089,151,57,0,35,22,*2DH/3,KCR
44,Christian Yelich,1179,2013,2022,21-30,1179,5131,4456,752,1286,841,247,30,168,604,150,29,608,1108,0.289,0.377,0.471,0.848,130,2097,95,38,4,24,40,*789DH,"MIA,MIL"
45,Nick Castellanos,1174,2013,2022,21-30,1174,4841,4452,575,1229,721,297,35,176,640,18,18,315,1118,0.276,0.326,0.477,0.803,113,2124,97,36,0,38,17,95D7H,"CHC,CIN,DET,PHI"
46,Lorenzo Cain,1171,2010,2022,24-36,1171,4758,4314,626,1220,884,225,24,87,454,190,44,362,854,0.283,0.343,0.407,0.749,102,1754,109,49,0,32,14,89H/D7,"KCR,MIL"
47,Kole Calhoun,1151,2012,2022,24-34,1151,4686,4175,615,1029,642,197,18,172,549,33,16,429,1032,0.246,0.32,0.426,0.746,105,1778,71,39,4,37,15,*9H7D/38,"ARI,LAA,TEX"
48,César Hernández,1128,2013,2022,23-32,1128,4568,4072,568,1090,817,172,31,70,354,84,38,437,881,0.268,0.342,0.377,0.718,95,1534,67,29,13,16,17,*4H568/D,"CHW,CLE,PHI,WSN"
49,Marcell Ozuna,1124,2013,2022,22-31,1124,4694,4280,567,1154,750,194,20,190,657,28,14,373,1000,0.27,0.329,0.457,0.787,113,1958,107,17,1,22,15,*78D9H,"ATL,MIA,STL"
50,Josh Harrison,1111,2011,2022,23-34,1111,4021,3698,470,1004,698,207,32,67,365,90,36,175,606,0.271,0.317,0.399,0.716,96,1476,62,87,28,32,5,45H796D/183,"CHW,DET,OAK,PIT,WSN"
51,Marcus Semien,1105,2013,2022,22-31,1105,4723,4262,630,1084,662,224,26,172,524,97,27,420,939,0.254,0.321,0.44,0.762,108,1876,78,12,7,22,5,645H/D,"CHW,OAK,TEX,TOR"
52,Marwin Gonzalez,1101,2012,2022,23-33,1101,3793,3448,412,880,585,183,8,104,407,43,28,255,789,0.255,0.313,0.403,0.716,96,1391,86,41,36,13,10,63754H9D/81,"BOS,HOU,MIN,NYY"
53,Eugenio Suárez,1089,2014,2022,22-30,1089,4381,3845,548,965,574,170,12,209,594,28,17,437,1151,0.251,0.334,0.464,0.799,110,1786,94,59,9,31,14,56HD,"CIN,DET,SEA"
54,Jonathan Schoop,1087,2013,2022,21-30,1087,4290,4021,524,1038,661,201,7,169,522,15,4,175,952,0.258,0.297,0.438,0.735,98,1760,115,58,7,28,4,43H6D5,"BAL,DET,MIL,MIN"
55,Jackie Bradley Jr.,1084,2013,2022,23-32,1084,3957,3516,489,803,479,192,27,105,430,69,17,348,1010,0.228,0.308,0.388,0.696,85,1364,57,64,7,22,17,*89H7/D1,"BOS,MIL"
56,Anthony Rendon,1071,2013,2022,23-32,1071,4596,3992,639,1137,686,279,16,156,635,47,16,499,714,0.285,0.368,0.48,0.848,125,1916,84,52,4,49,30,54H/6D,"LAA,WSN"
57,Yasmani Grandal,1068,2012,2022,23-33,1068,4062,3406,467,809,473,155,7,174,520,12,7,601,958,0.238,0.352,0.44,0.793,116,1500,104,20,3,32,10,2H3D,"CHW,LAD,MIL,SDP"
58,José Ramírez,1064,2013,2022,20-29,1064,4391,3864,657,1078,591,275,32,180,608,167,39,443,527,0.279,0.355,0.506,0.862,128,1957,60,32,19,33,40,5467DH,CLE
59,Didi Gregorius,1063,2012,2022,22-32,1063,4208,3844,500,993,653,180,27,133,524,36,16,253,605,0.258,0.31,0.423,0.733,97,1626,50,52,15,42,19,6H4/5D,"ARI,CIN,NYY,PHI"
60,José Iglesias,1051,2011,2022,21-32,1051,3861,3600,418,1005,735,209,14,47,350,59,35,167,477,0.279,0.32,0.384,0.704,89,1383,84,55,24,15,6,65H4D,"BAL,BOS,CIN,COL,DET,LAA"
61,Mookie Betts,1041,2014,2022,21-29,1041,4747,4174,815,1229,718,283,30,198,614,152,33,494,646,0.294,0.371,0.519,0.89,134,2166,52,35,4,40,28,*984HD,"BOS,LAD"
62,Rougned Odor,1038,2014,2022,20-28,1038,4066,3727,502,864,494,171,29,170,530,63,50,237,969,0.232,0.287,0.43,0.717,88,1603,51,64,12,26,14,*4H5D,"BAL,NYY,TEX"
63,Kolten Wong,1034,2013,2022,22-31,1034,3794,3367,455,875,604,167,31,73,353,110,34,288,590,0.26,0.332,0.393,0.725,97,1323,44,90,20,29,28,*4H/8796,"MIL,STL"
64,Kevin Pillar,1033,2013,2022,24-33,1033,3846,3607,460,934,605,217,15,97,391,92,32,154,640,0.259,0.296,0.408,0.704,88,1472,70,47,12,26,6,*879H/D1,"BOS,COL,LAD,NYM,SFG,TOR"
65,Jonathan Villar,1028,2013,2022,22-31,1028,3919,3517,481,897,617,161,19,100,341,239,66,342,1041,0.255,0.322,0.397,0.719,94,1396,55,16,26,17,10,645HD8/7,"BAL,CHC,HOU,LAA,MIA,MIL,NYM,TOR"
66,Avisaíl García,1024,2012,2022,21-31,1024,4035,3705,477,989,691,149,16,133,503,48,32,247,957,0.267,0.32,0.423,0.744,102,1569,96,57,0,26,21,9D8H7,"CHW,DET,MIA,MIL,TBR"
67,Dee Strange-Gordon,1024,2011,2022,23-34,1024,4163,3906,538,1118,920,125,55,18,236,336,102,168,618,0.286,0.319,0.36,0.679,89,1407,46,32,29,26,6,46H87/D1,"LAD,MIA,SEA,WSN"
68,Wil Myers,1018,2013,2022,22-31,1018,3997,3562,506,902,542,199,14,147,499,103,31,393,1073,0.253,0.328,0.441,0.769,110,1570,83,15,1,26,17,9378H5D/14,"SDP,TBR"
69,Brad Miller,1010,2013,2022,23-32,1010,3416,3034,387,719,439,128,30,122,396,43,18,334,845,0.237,0.314,0.42,0.733,102,1273,37,15,9,22,10,64H3D5798,"CLE,MIL,PHI,SEA,STL,TBR,TEX"
70,Francisco Lindor,990,2015,2022,21-28,990,4422,3936,633,1084,671,218,21,174,538,118,33,374,667,0.275,0.34,0.474,0.815,115,1866,78,37,31,44,32,*6D/H,"CLE,NYM"
71,Corey Dickerson,980,2013,2022,24-33,980,3614,3361,458,940,556,218,35,131,430,30,24,216,744,0.28,0.324,0.482,0.806,114,1621,65,14,1,19,29,7DH89,"COL,MIA,PHI,PIT,STL,TBR,TOR"
72,AJ Pollock,965,2012,2022,24-34,965,3740,3408,528,948,578,208,32,130,440,120,27,263,661,0.278,0.333,0.472,0.806,114,1610,65,34,6,29,11,87H9D,"ARI,CHW,LAD"
73,Joc Pederson,961,2014,2022,22-30,961,3254,2807,435,655,339,141,10,165,405,22,23,367,781,0.233,0.332,0.467,0.799,114,1311,46,56,5,18,19,87H9D3,"ATL,CHC,LAD,SFG"
74,Randal Grichuk,958,2014,2022,22-30,958,3540,3299,442,809,433,190,21,165,476,23,16,195,936,0.245,0.292,0.466,0.757,101,1536,81,28,1,17,6,*987HD/1,"COL,STL,TOR"
75,Martín Maldonado,954,2011,2022,24-35,954,3156,2808,298,585,379,113,4,89,302,3,5,253,817,0.208,0.286,0.347,0.633,72,973,68,58,28,9,17,2H3/1,"CHC,HOU,KCR,LAA,MIL"
76,Robbie Grossman,953,2013,2022,23-32,953,3698,3158,429,778,526,163,14,75,340,60,26,475,811,0.246,0.348,0.378,0.726,102,1194,38,30,14,21,8,79DH8,"DET,HOU,MIN,OAK"
77,Jason Castro,952,2010,2022,23-35,952,3381,2981,368,678,406,166,9,97,325,6,2,347,970,0.227,0.312,0.387,0.699,92,1153,60,27,8,18,11,2HD/3,"HOU,LAA,MIN,SDP"
78,George Springer,952,2014,2022,24-32,952,4248,3682,678,985,586,170,16,213,548,61,33,464,929,0.268,0.357,0.496,0.853,132,1826,67,65,2,24,10,98DH/7,"HOU,TOR"
79,David Peralta,951,2014,2022,26-34,951,3695,3369,430,950,608,188,45,109,464,33,14,277,718,0.282,0.339,0.462,0.801,111,1555,67,27,1,21,18,*79H8D/1,ARI
80,Wilmer Flores,946,2013,2022,21-30,946,3269,3001,377,799,517,158,4,120,425,5,3,206,435,0.266,0.317,0.442,0.758,106,1325,79,29,3,30,8,4536HD,"ARI,NYM,SFG"
81,J.T. Realmuto,942,2014,2022,23-31,942,3787,3450,483,940,604,192,25,119,466,68,17,251,755,0.272,0.329,0.446,0.775,109,1539,75,54,1,28,14,2H3D,"MIA,PHI"
82,Javier Báez,938,2014,2022,21-29,938,3567,3334,480,868,511,178,21,158,500,84,31,170,1029,0.26,0.302,0.469,0.771,103,1562,78,37,8,17,32,645H3/D79,"CHC,DET,NYM"
83,Yan Gomes,931,2012,2022,24-34,931,3435,3163,380,774,482,164,8,120,426,5,0,187,820,0.245,0.295,0.415,0.71,90,1314,89,51,2,32,15,2HD3/57,"CHC,CLE,OAK,TOR,WSN"
84,Billy Hamilton,920,2013,2022,22-31,920,3266,2971,445,712,540,109,39,24,189,317,71,228,697,0.24,0.293,0.327,0.62,67,971,19,4,44,19,1,8H7/D9,"ATL,CHC,CHW,CIN,KCR,MIA,NYM"
85,C.J. Cron,914,2014,2022,24-32,914,3497,3167,403,838,490,173,9,166,532,10,8,231,793,0.265,0.325,0.482,0.808,116,1527,80,67,0,26,12,3DH,"COL,DET,LAA,MIN,TBR"
86,Kevin Kiermaier,914,2013,2022,23-32,914,3351,3053,410,756,483,140,51,82,316,112,36,236,736,0.248,0.308,0.407,0.715,98,1244,38,35,14,13,12,89H/D7,TBR
87,Kris Bryant,913,2015,2022,23-30,913,3962,3397,613,947,546,211,19,171,497,44,20,454,926,0.279,0.376,0.503,0.879,132,1709,48,88,0,23,21,57938HD/6,"CHC,COL,SFG"
88,Maikel Franco,903,2014,2022,21-29,903,3510,3246,358,796,501,163,4,128,463,4,1,221,556,0.245,0.294,0.416,0.711,89,1351,102,16,0,27,39,5H3D,"BAL,KCR,PHI,WSN"
89,Miguel Rojas,893,2014,2022,25-33,893,2856,2608,301,687,508,131,9,39,254,43,16,184,357,0.263,0.317,0.365,0.683,87,953,78,31,14,18,16,635H4/7,"LAD,MIA"
90,Kiké Hernández,875,2014,2022,22-30,875,2831,2514,363,602,347,145,15,95,311,13,4,263,565,0.239,0.314,0.422,0.737,97,1062,37,23,6,25,11,84H76953/D1,"BOS,HOU,LAD,MIA"
91,Ender Inciarte,868,2014,2022,23-31,868,3422,3125,447,875,667,138,28,42,263,118,45,239,447,0.28,0.333,0.382,0.715,91,1195,35,18,21,19,11,879H/D,"ARI,ATL,NYM"
92,Whit Merrifield,852,2016,2022,27-33,852,3762,3461,497,990,681,210,26,73,381,173,40,234,590,0.286,0.332,0.425,0.757,103,1471,57,25,4,38,9,4987D3/H5,KCR
93,Juan Lagares,850,2013,2022,24-33,850,2508,2329,270,582,410,119,22,31,217,45,19,120,528,0.25,0.291,0.36,0.651,80,838,46,22,21,16,13,8H97,"LAA,NYM"
94,Mike Zunino,850,2013,2022,22-31,850,2958,2674,315,535,270,114,5,146,361,2,4,204,1027,0.2,0.271,0.41,0.681,88,1097,51,59,8,13,1,2H/D,"SEA,TBR"
95,Eddie Rosario,832,2015,2022,23-30,832,3322,3114,449,847,532,155,25,135,453,51,23,164,617,0.272,0.306,0.468,0.774,106,1457,40,3,12,29,15,*798DH/5,"ATL,CLE,MIN"
96,Adam Duvall,826,2014,2022,25-33,826,3026,2757,380,632,322,135,13,162,476,18,12,204,862,0.229,0.289,0.464,0.753,96,1279,38,37,0,27,7,79H83/5D,"ATL,CIN,MIA,SFG"
